ID,Manufacturer,Model,Range,Price,HP,Fast charge (min),Type,Segment,Country,Count,Share,Percentage
144,Peugeot,Rifter,276,326897.714285714,134,26,MPV,M,FR,14,9.44867009968347E-05,0.01%
145,Peugeot,Traveller,311,471939.818181818,134,38,MPV,M,FR,33,0.000222718652349682,0.02%
149,Polestar,2,513,452777.394506275,415,28,Liftback,D,SE,4235,0.0285822270515425,2.86%
150,Porsche,Taycan,447,1225670.0913811,402,17,Sedan,F,DE,1043,0.00703925922426419,0.7%
156,Renault,Megane,435,352940.514551804,128,30,Hatchback,C,FR,1723,0.0116286132726819,1.16%
158,Renault,Zoe,365,258217.385982732,134,56,Hatchback,B,FR,4560,0.0307756683246833,3.08%
163,Seat,Mii,251,154484.932454695,81,48,Hatchback,A,SP,615,0.00415066579378952,0.42%
164,Skoda,Citigo,256,152687,81,48,Hatchback,A,CZ,102,0.000688403107262653,0.07%
165,Skoda,Enyaq iV,496,431949.575478028,281,28,SUV,C,CZ,6442,0.0434773805586864,4.35%
167,Smart,Fortwo,127,207465.416666667,80,60,Hatchback,A,DE,13,8.77376509256322E-05,0.01%
168,SsangYong,Korando,346,285308,187,36,SUV,C,KR,4,2.69962002848099E-05,0.0%
169,Subaru,Solterra,426,421716.58,214,28,SUV,D,JP,50,0.000337452503560124,0.03%
172,Tesla,Model 3,542,429558.859767671,278,25,Sedan,D,US,13451,0.0907814725077445,9.08%
173,Tesla,Model S,609,917255.993984962,675,30,Liftback,F,US,4051,0.0273404018384412,2.73%
174,Tesla,Model X,529,1089941.54561717,675,30,SUV,F,US,585,0.00394819429165345,0.39%
175,Tesla,Model Y,506,439017.825633933,506,27,SUV,D,US,21792,0.147075299151644,14.71%
176,Toyota,bZ4X,470,403556.55876494,214,28,SUV,D,JP,1072,0.00723498167632906,0.72%
178,Toyota,Proace City Verso,318,327908.461538462,134,26,MPV,M,JP,14,9.44867009968347E-05,0.01%
179,Toyota,Proace Verso,303,395876.819277108,134,38,MPV,M,JP,94,0.000634410706693033,0.06%
181,Volkswagen,Golf,230,260542.422377622,134,36,Hatchback,C,DE,840,0.00566920205981008,0.57%
182,Volkswagen,ID.3,436,339928.862217018,201,32,Hatchback,C,DE,5227,0.0352772847221754,3.53%
183,Volkswagen,ID.4,502,415705.709254242,281,28,SUV,C,DE,7533,0.0508405941863683,5.08%
184,Volkswagen,ID.5,514,435906.067681895,281,28,SUV,C,DE,3022,0.0203956293151739,2.04%
185,Volkswagen,ID.7,597,494230.707692308,281,28,Sedan,E,DE,197,0.00132956286402689,0.13%
186,Volkswagen,ID.Buzz,412,496607.912541254,201,30,MPV,M,DE,1214,0.00819334678643981,0.82%
187,Volkswagen,up!,256,173761.919262556,81,48,Hatchback,A,DE,1909,0.0128839365859255,1.29%
188,Volvo,C40,466,449203.70797546,402,28,SUV,C,SE,815,0.00550047580803002,0.55%
189,Volvo,EX30,475,368245,268,28,SUV,B,SE,4,2.69962002848099E-05,0.0%
190,Volvo,XC40,457,443449.849520384,402,28,SUV,C,SE,3348,0.0225958196383859,2.26%
192,Voyah,Free,500,504768.5,482,55,SUV,E,CH,8,5.39924005696198E-05,0.01%
