"Udlæst fra bilstatistik.dk, af Henrik Sejersen, DBI IT A/S, den 24-01-2024 15:07:03",,,,,,,,,,,,,,,,,,,,,,,,,,
Data i denne fil tilhører DBI IT A/S og er udelukkende til intern brug hos DBI IT A/S,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr. model,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyregistreringer,,,,,,,,,,,,,,,,,,,,,,,,,,
Periode: Fra 01-01-2013 til 31-12-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,,,,,,,,,,,,,,,,,,,,,,,,,,
Personbiler,,,,,,,,,,,,,,,,,,,,,,,,,,
Drivkraft: El (BEV),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,Total,
Nr.,Mærke,Model,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel
,Total for rapport,,534,100.00%,"1,567",100.00%,"4,311",100.00%,"1,314",100.00%,699,100.00%,"1,545",100.00%,"5,520",100.00%,"14,227",100.00%,"24,905",100.00%,"30,821",100.00%,"62,726",100.00%,"148,169",100.00%
39,Eagle,EG2040HCXR,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.14%,2,0.13%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.00%
40,Eagle,EG2048,0,0.00%,0,0.00%,5,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.00%
41,Eagle,EG2048HCXR-02,0,0.00%,0,0.00%,0,0.00%,2,0.15%,0,0.00%,7,0.45%,1,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,0.01%
42,Eagle,EG204AHCXR,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.06%,2,0.04%,1,0.01%,0,0.00%,0,0.00%,0,0.00%,4,0.00%
43,Eagle,Electric Golf Car,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.04%,6,0.04%,1,0.00%,0,0.00%,0,0.00%,9,0.01%
44,Eagle,El-golfbil,1,0.19%,4,0.26%,0,0.00%,0,0.00%,0,0.00%,4,0.26%,0,0.00%,2,0.01%,4,0.02%,0,0.00%,0,0.00%,15,0.01%
45,Eagle,European Business Car,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.01%,0,0.00%,0,0.00%,1,0.00%,2,0.00%
46,Eagle,Golf Car,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.02%,3,0.01%,8,0.01%,15,0.01%
47,Fiat,500,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,84,0.59%,677,2.72%,299,0.97%,216,0.34%,"1,276",0.86%
48,Fisker,Karma,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.01%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
49,Fisker,Ocean,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,290,0.46%,290,0.20%
50,Ford,Mustang Mach-E,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.01%,"1,066",4.28%,"1,247",4.05%,"1,338",2.13%,"3,652",2.46%
51,Fulu,,0,0.00%,2,0.13%,2,0.05%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.00%
52,Garia,D22,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.01%,2,0.01%,0,0.00%,0,0.00%,4,0.00%
53,Garia,G21,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.04%,3,0.02%,1,0.00%,1,0.00%,2,0.00%,9,0.01%
54,Garia,G22,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.02%,1,0.01%,0,0.00%,1,0.00%,3,0.00%,6,0.00%
55,Garia,Monaco,0,0.00%,0,0.00%,6,0.14%,6,0.46%,4,0.57%,4,0.26%,0,0.00%,1,0.01%,2,0.01%,2,0.01%,0,0.00%,25,0.02%
56,Garia,Monaco 2+2,3,0.56%,3,0.19%,10,0.23%,55,4.19%,5,0.72%,4,0.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,80,0.05%
57,Garia,Roadster,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.06%,1,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%
58,Goes,ATV,0,0.00%,1,0.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
59,Goes,e-Ruf,0,0.00%,0,0.00%,0,0.00%,1,0.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
60,Gumpert Aiways,U5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.01%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
61,HDK,NRG Car,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.01%,6,0.01%,9,0.01%
62,Hecht,59399,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.01%,3,0.00%,6,0.00%
63,Hisun,HS,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.02%,1,0.01%,0,0.00%,2,0.01%,2,0.00%,6,0.00%
64,Honda,E,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,80,0.56%,22,0.09%,2,0.01%,9,0.01%,113,0.08%
65,Honda,e:Ny1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,46,0.07%,46,0.03%
66,Hongqi,E-HS9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,56,0.09%,56,0.04%
67,Hyundai,Ioniq,0,0.00%,0,0.00%,0,0.00%,0,0.00%,28,4.01%,151,9.77%,191,3.46%,204,1.43%,257,1.03%,0,0.00%,0,0.00%,831,0.56%
68,Hyundai,Ioniq 5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,015",4.08%,612,1.99%,933,1.49%,"2,560",1.73%
69,Hyundai,Ioniq 6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,198,0.32%,198,0.13%
70,Hyundai,Kona,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,0.45%,663,12.01%,"1,160",8.15%,"1,166",4.68%,762,2.47%,774,1.23%,"4,532",3.06%
71,Italcar,C2C,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,0.45%,7,0.13%,3,0.02%,2,0.01%,1,0.00%,3,0.00%,23,0.02%
