ID,year,Antal
55,2020,1
55,2021,2
55,2022,2
55,2023,0
56,2013,3
56,2014,3
56,2015,10
56,2016,55
56,2017,5
56,2018,4
56,2019,0
56,2020,0
56,2021,0
56,2022,0
56,2023,0
57,2013,0
57,2014,0
57,2015,0
57,2016,0
57,2017,0
57,2018,1
57,2019,1
57,2020,0
57,2021,0
57,2022,0
57,2023,0
58,2013,0
58,2014,1
58,2015,0
58,2016,0
58,2017,0
58,2018,0
58,2019,0
58,2020,0
58,2021,0
58,2022,0
58,2023,0
59,2013,0
59,2014,0
59,2015,0
59,2016,1
59,2017,0
59,2018,0
59,2019,0
59,2020,0
59,2021,0
59,2022,0
59,2023,0
60,2013,0
60,2014,0
60,2015,0
60,2016,0
60,2017,0
60,2018,0
60,2019,0
60,2020,1
60,2021,0
60,2022,0
60,2023,0
61,2013,0
61,2014,0
61,2015,0
61,2016,0
61,2017,0
61,2018,0
61,2019,0
61,2020,0
61,2021,0
61,2022,3
61,2023,6
62,2013,0
62,2014,0
62,2015,0
62,2016,0
62,2017,0
62,2018,0
62,2019,0
62,2020,0
62,2021,0
62,2022,3
62,2023,3
63,2013,0
63,2014,0
63,2015,0
63,2016,0
63,2017,0
63,2018,0
63,2019,1
63,2020,1
63,2021,0
63,2022,2
63,2023,2
64,2013,0
64,2014,0
64,2015,0
64,2016,0
64,2017,0
64,2018,0
64,2019,0
64,2020,80
64,2021,22
64,2022,2
64,2023,9
65,2013,0
65,2014,0
65,2015,0
65,2016,0
65,2017,0
65,2018,0
65,2019,0
65,2020,0
65,2021,0
65,2022,0
65,2023,46
66,2013,0
66,2014,0
66,2015,0
66,2016,0
66,2017,0
66,2018,0
66,2019,0
66,2020,0
66,2021,0
66,2022,0
66,2023,56
67,2013,0
67,2014,0
67,2015,0
67,2016,0
67,2017,28
67,2018,151
67,2019,191
67,2020,204
67,2021,257
67,2022,0
67,2023,0
68,2013,0
68,2014,0
68,2015,0
68,2016,0
68,2017,0
68,2018,0
68,2019,0
68,2020,0
68,2021,1015
68,2022,612
68,2023,933
69,2013,0
69,2014,0
69,2015,0
69,2016,0
69,2017,0
69,2018,0
69,2019,0
69,2020,0
69,2021,0
69,2022,0
69,2023,198
70,2013,0
70,2014,0
70,2015,0
70,2016,0
70,2017,0
70,2018,7
70,2019,663
70,2020,1160
70,2021,1166
70,2022,762
70,2023,774
71,2013,0
71,2014,0
71,2015,0
71,2016,0
71,2017,0
71,2018,7
71,2019,7
71,2020,3
71,2021,2
71,2022,1
71,2023,3
72,2013,0
72,2014,0
72,2015,0
72,2016,0
72,2017,0
72,2018,0
72,2019,0
72,2020,0
72,2021,1
72,2022,0
72,2023,0
73,2013,0
73,2014,0
73,2015,0
73,2016,0
73,2017,0
73,2018,0
73,2019,0
73,2020,0
73,2021,0
73,2022,0
73,2023,85
74,2013,0
74,2014,0
74,2015,0
74,2016,0
74,2017,0
74,2018,12
74,2019,96
74,2020,123
74,2021,43
74,2022,14
74,2023,4
75,2013,0
75,2014,0
75,2015,0
75,2016,0
75,2017,0
75,2018,0
75,2019,0
75,2020,0
75,2021,0
75,2022,0
75,2023,81
76,2013,0
76,2014,0
76,2015,0
76,2016,0
76,2017,0
76,2018,0
76,2019,0
76,2020,0
76,2021,0
76,2022,0
76,2023,15
77,2013,0
77,2014,0
77,2015,0
77,2016,0
77,2017,0
77,2018,0
77,2019,0
77,2020,0
77,2021,0
77,2022,0
77,2023,1
78,2013,0
78,2014,0
78,2015,0
78,2016,0
78,2017,0
78,2018,0
78,2019,0
78,2020,0
78,2021,2
78,2022,3
78,2023,1
79,2013,0
79,2014,0
79,2015,0
79,2016,0
79,2017,0
79,2018,1
79,2019,2
79,2020,1
79,2021,0
79,2022,0
79,2023,0
80,2013,0
80,2014,0
80,2015,0
80,2016,0
80,2017,0
80,2018,0
80,2019,0
80,2020,0
80,2021,1
80,2022,1
80,2023,0
81,2013,0
81,2014,1
81,2015,0
81,2016,0
81,2017,0
81,2018,0
81,2019,0
81,2020,0
81,2021,0
81,2022,0
81,2023,0
82,2013,0
82,2014,0
82,2015,0
82,2016,0
82,2017,0
82,2018,0
82,2019,0
82,2020,0
82,2021,623
82,2022,800
82,2023,817
83,2013,0
83,2014,0
83,2015,0
83,2016,0
83,2017,0
83,2018,0
83,2019,0
83,2020,0
83,2021,0
83,2022,0
83,2023,93
84,2013,0
84,2014,0
84,2015,0
84,2016,0
84,2017,0
84,2018,0
84,2019,146
84,2020,834
84,2021,986
84,2022,690
84,2023,616
85,2013,0
85,2014,0
85,2015,10
85,2016,18
85,2017,9
85,2018,4
85,2019,41
85,2020,42
85,2021,62
85,2022,55
85,2023,3
86,2013,0
86,2014,0
86,2015,0
86,2016,0
86,2017,0
86,2018,0
86,2019,0
86,2020,0
86,2021,0
86,2022,0
86,2023,14
87,2013,0
87,2014,0
87,2015,0
87,2016,0
87,2017,0
87,2018,0
87,2019,0
87,2020,0
87,2021,5
87,2022,16
87,2023,0
88,2013,0
88,2014,0
88,2015,0
88,2016,0
88,2017,0
88,2018,0
88,2019,1
88,2020,0
88,2021,0
88,2022,0
88,2023,0
89,2013,0
89,2014,0
89,2015,0
89,2016,0
89,2017,0
89,2018,0
89,2019,0
89,2020,0
89,2021,15
89,2022,16
89,2023,17
90,2013,0
90,2014,0
90,2015,0
90,2016,0
90,2017,0
90,2018,0
90,2019,0
90,2020,0
90,2021,0
90,2022,1
90,2023,0
91,2013,0
91,2014,0
91,2015,0
91,2016,0
91,2017,0
91,2018,0
91,2019,0
91,2020,0
91,2021,3
91,2022,2
91,2023,0
92,2013,0
92,2014,0
92,2015,0
92,2016,0
92,2017,0
92,2018,0
92,2019,0
92,2020,0
92,2021,0
92,2022,0
92,2023,11
93,2013,1
93,2014,10
93,2015,0
93,2016,0
93,2017,0
93,2018,0
93,2019,0
93,2020,0
93,2021,0
93,2022,0
93,2023,0
94,2013,0
94,2014,2
94,2015,0
94,2016,1
94,2017,0
94,2018,0
94,2019,0
94,2020,1
94,2021,0
94,2022,0
94,2023,0
95,2013,0
95,2014,0
95,2015,0
95,2016,0
95,2017,0
95,2018,0
95,2019,0
95,2020,0
95,2021,0
95,2022,0
95,2023,1
96,2013,0
96,2014,0
96,2015,0
96,2016,0
96,2017,0
96,2018,0
96,2019,0
96,2020,0
96,2021,0
96,2022,0
96,2023,7
97,2013,0
97,2014,0
97,2015,0
97,2016,0
97,2017,0
97,2018,0
97,2019,0
97,2020,0
97,2021,1
97,2022,3
97,2023,5
98,2013,0
98,2014,0
98,2015,0
98,2016,0
98,2017,0
98,2018,0
98,2019,0
98,2020,39
98,2021,73
98,2022,9
98,2023,0
99,2013,0
99,2014,0
99,2015,0
99,2016,0
99,2017,0
99,2018,0
99,2019,0
99,2020,0
99,2021,0
99,2022,39
99,2023,9
100,2013,0
100,2014,0
100,2015,0
100,2016,0
100,2017,0
100,2018,0
100,2019,0
100,2020,0
100,2021,0
100,2022,80
100,2023,247
101,2013,0
101,2014,0
101,2015,0
101,2016,0
101,2017,0
101,2018,0
101,2019,0
101,2020,0
101,2021,0
101,2022,0
101,2023,2
102,2013,0
102,2014,0
102,2015,0
102,2016,0
102,2017,0
102,2018,0
102,2019,0
102,2020,0
102,2021,0
102,2022,0
102,2023,1
103,2013,0
103,2014,0
103,2015,0
103,2016,0
103,2017,0
103,2018,0
103,2019,0
103,2020,253
103,2021,139
103,2022,75
103,2023,379
104,2013,0
104,2014,0
104,2015,0
104,2016,0
104,2017,0
104,2018,0
104,2019,0
104,2020,0
104,2021,0
104,2022,1
104,2023,0
105,2013,0
105,2014,0
105,2015,0
105,2016,0
105,2017,0
105,2018,1
105,2019,0
105,2020,0
105,2021,0
105,2022,0
105,2023,0
106,2013,0
106,2014,0
106,2015,39
106,2016,1
106,2017,1
106,2018,0
106,2019,0
106,2020,0
106,2021,0
106,2022,0
106,2023,0
107,2013,0
107,2014,0
107,2015,0
107,2016,0
107,2017,0
107,2018,0
107,2019,0
107,2020,0
107,2021,707
107,2022,738
107,2023,1177
108,2013,0
108,2014,0
108,2015,0
108,2016,0
108,2017,0
108,2018,0
108,2019,0
108,2020,0
108,2021,0
108,2022,606
108,2023,856
109,2013,0
109,2014,0
109,2015,0
109,2016,0
109,2017,0
109,2018,0
109,2019,19
109,2020,234
109,2021,344
109,2022,280
109,2023,173
110,2013,0
110,2014,0
110,2015,0
110,2016,0
110,2017,0
110,2018,0
110,2019,0
110,2020,0
110,2021,0
110,2022,454
110,2023,753
111,2013,0
111,2014,0
111,2015,0
111,2016,0
111,2017,0
111,2018,0
111,2019,0
111,2020,0
111,2021,0
111,2022,0
111,2023,269
112,2013,0
112,2014,0
112,2015,0
112,2016,0
112,2017,0
112,2018,0
112,2019,0
112,2020,0
112,2021,17
112,2022,144
112,2023,70
113,2013,0
113,2014,0
113,2015,0
113,2016,0
113,2017,0
113,2018,0
113,2019,0
113,2020,0
113,2021,0
113,2022,3
113,2023,72
114,2013,0
114,2014,0
114,2015,0
114,2016,0
114,2017,0
114,2018,0
114,2019,0
114,2020,56
114,2021,67
114,2022,105
114,2023,93
115,2013,1
115,2014,1
115,2015,0
115,2016,0
115,2017,0
115,2018,0
115,2019,0
115,2020,1
115,2021,21
115,2022,57
115,2023,12
116,2013,0
116,2014,0
116,2015,0
116,2016,0
116,2017,0
116,2018,0
116,2019,0
116,2020,0
116,2021,6
116,2022,13
116,2023,26
117,2013,0
117,2014,0
117,2015,0
117,2016,0
117,2017,0
117,2018,0
117,2019,0
117,2020,0
117,2021,0
117,2022,53
117,2023,742
118,2013,0
118,2014,0
118,2015,0
118,2016,0
118,2017,0
118,2018,0
118,2019,0
118,2020,0
118,2021,0
118,2022,81
118,2023,61
119,2013,0
119,2014,0
119,2015,0
119,2016,0
119,2017,0
119,2018,0
119,2019,0
119,2020,0
119,2021,16
119,2022,171
119,2023,208
120,2013,0
120,2014,0
120,2015,0
120,2016,0
120,2017,0
120,2018,0
120,2019,0
120,2020,289
120,2021,193
120,2022,232
120,2023,144
121,2013,0
121,2014,0
121,2015,0
121,2016,0
121,2017,0
121,2018,0
121,2019,0
121,2020,0
121,2021,0
121,2022,0
121,2023,2
122,2013,0
122,2014,0
122,2015,0
122,2016,0
122,2017,0
122,2018,0
122,2019,0
122,2020,268
122,2021,244
122,2022,198
122,2023,140
123,2013,0
123,2014,0
123,2015,0
123,2016,0
123,2017,0
123,2018,0
123,2019,0
123,2020,0
123,2021,0
123,2022,0
123,2023,8
124,2013,1
124,2014,0
124,2015,1
124,2016,0
124,2017,0
124,2018,0
124,2019,0
124,2020,0
124,2021,0
124,2022,0
124,2023,0
125,2013,1
125,2014,0
125,2015,0
125,2016,0
125,2017,0
125,2018,0
125,2019,0
125,2020,0
125,2021,0
125,2022,0
125,2023,0
126,2013,0
126,2014,0
126,2015,0
126,2016,0
126,2017,0
126,2018,0
126,2019,0
126,2020,0
126,2021,0
126,2022,0
126,2023,6
127,2013,0
127,2014,0
127,2015,0
127,2016,0
127,2017,0
127,2018,0
127,2019,0
127,2020,0
127,2021,0
127,2022,0
127,2023,8
128,2013,0
128,2014,0
128,2015,0
128,2016,0
128,2017,0
128,2018,0
128,2019,0
128,2020,0
128,2021,0
128,2022,3
128,2023,0
129,2013,0
129,2014,0
129,2015,0
129,2016,0
129,2017,0
129,2018,0
129,2019,0
129,2020,0
129,2021,0
129,2022,0
129,2023,21
130,2013,0
130,2014,0
130,2015,0
130,2016,0
130,2017,0
130,2018,0
130,2019,0
130,2020,0
130,2021,0
130,2022,12
130,2023,6
131,2013,0
131,2014,0
131,2015,0
131,2016,0
131,2017,0
131,2018,0
131,2019,0
131,2020,0
131,2021,0
131,2022,392
131,2023,966
132,2013,211
132,2014,577
132,2015,217
132,2016,85
132,2017,20
132,2018,637
132,2019,307
132,2020,566
132,2021,416
132,2022,238
132,2023,93
133,2013,0
133,2014,3
133,2015,233
133,2016,27
133,2017,11
133,2018,17
133,2019,24
133,2020,12
133,2021,7
133,2022,1
133,2023,0
134,2013,0
134,2014,0
134,2015,0
134,2016,0
134,2017,0
134,2018,0
134,2019,0
134,2020,0
134,2021,1
134,2022,23
134,2023,26
135,2013,0
135,2014,0
135,2015,0
135,2016,0
135,2017,0
135,2018,0
135,2019,0
135,2020,48
135,2021,131
135,2022,132
135,2023,312
136,2013,0
136,2014,0
136,2015,0
136,2016,0
136,2017,0
136,2018,0
136,2019,0
136,2020,0
136,2021,173
136,2022,104
136,2023,254
137,2013,0
137,2014,0
137,2015,0
137,2016,0
137,2017,0
137,2018,0
137,2019,0
137,2020,0
137,2021,0
137,2022,1
137,2023,0
138,2013,0
138,2014,0
138,2015,0
138,2016,0
138,2017,0
138,2018,0
138,2019,0
138,2020,0
138,2021,0
138,2022,11
138,2023,39
139,2013,0
139,2014,0
139,2015,0
139,2016,0
139,2017,0
139,2018,0
139,2019,0
139,2020,1
139,2021,2
139,2022,0
139,2023,0
140,2013,0
140,2014,0
140,2015,0
140,2016,0
140,2017,0
140,2018,0
140,2019,0
140,2020,222
140,2021,305
140,2022,240
140,2023,278
141,2013,0
141,2014,0
141,2015,0
141,2016,0
141,2017,0
141,2018,0
141,2019,0
141,2020,292
141,2021,345
141,2022,582
141,2023,391
142,2013,0
142,2014,0
142,2015,0
142,2016,0
142,2017,0
142,2018,0
142,2019,0
142,2020,0
142,2021,0
142,2022,0
142,2023,3
143,2013,9
143,2014,1
143,2015,0
143,2016,0
143,2017,0
143,2018,0
143,2019,0
143,2020,0
143,2021,0
143,2022,0
143,2023,0
144,2013,0
144,2014,0
144,2015,0
144,2016,0
144,2017,0
144,2018,0
144,2019,0
144,2020,0
144,2021,0
144,2022,3
144,2023,11
145,2013,0
145,2014,0
145,2015,0
145,2016,0
145,2017,0
145,2018,0
145,2019,0
145,2020,0
145,2021,14
145,2022,11
145,2023,8
146,2013,1
146,2014,4
146,2015,5
146,2016,2
146,2017,0
146,2018,0
146,2019,0
146,2020,0
146,2021,0
146,2022,0
146,2023,0
147,2013,0
147,2014,0
147,2015,1
147,2016,28
147,2017,26
147,2018,28
147,2019,11
147,2020,14
147,2021,17
147,2022,19
147,2023,7
148,2013,0
148,2014,0
148,2015,0
148,2016,0
148,2017,0
148,2018,0
148,2019,0
148,2020,0
148,2021,0
148,2022,0
148,2023,3
149,2013,0
149,2014,0
149,2015,0
149,2016,0
149,2017,0
149,2018,0
149,2019,0
149,2020,2
149,2021,731
149,2022,1480
149,2023,2022
150,2013,0
150,2014,0
150,2015,0
150,2016,0
150,2017,0
150,2018,0
150,2019,0
150,2020,324
150,2021,296
150,2022,264
150,2023,159
151,2013,0
151,2014,0
151,2015,0
151,2016,0
151,2017,0
151,2018,0
151,2019,0
151,2020,0
151,2021,0
151,2022,0
151,2023,2
152,2013,0
152,2014,0
152,2015,0
152,2016,0
152,2017,0
152,2018,0
152,2019,0
152,2020,0
152,2021,0
152,2022,2
152,2023,0
153,2013,0
153,2014,0
153,2015,0
153,2016,0
153,2017,0
153,2018,0
153,2019,0
153,2020,0
153,2021,1
153,2022,0
153,2023,0
154,2013,0
154,2014,0
154,2015,0
154,2016,0
154,2017,0
154,2018,0
154,2019,0
154,2020,0
154,2021,0
154,2022,4
154,2023,6
155,2013,38
155,2014,5
155,2015,0
155,2016,0
155,2017,0
155,2018,0
155,2019,0
155,2020,0
155,2021,0
155,2022,0
155,2023,0
156,2013,0
156,2014,0
156,2015,0
156,2016,0
156,2017,0
156,2018,0
156,2019,0
156,2020,0
156,2021,0
156,2022,389
156,2023,1334
157,2013,14
157,2014,17
157,2015,23
157,2016,0
157,2017,0
157,2018,0
157,2019,0
157,2020,0
157,2021,0
157,2022,0
157,2023,1
158,2013,92
158,2014,145
158,2015,329
158,2016,612
158,2017,387
158,2018,421
158,2019,568
158,2020,704
158,2021,970
158,2022,304
158,2023,28
159,2013,0
159,2014,0
159,2015,0
159,2016,0
159,2017,0
159,2018,0
159,2019,1
159,2020,9
159,2021,3
159,2022,0
159,2023,0
160,2013,1
160,2014,0
160,2015,0
160,2016,0
160,2017,0
160,2018,0
160,2019,0
160,2020,0
160,2021,0
160,2022,0
160,2023,0
161,2013,0
161,2014,0
161,2015,0
161,2016,0
161,2017,0
161,2018,0
161,2019,0
161,2020,0
161,2021,0
161,2022,3
161,2023,3
162,2013,0
162,2014,0
162,2015,0
162,2016,0
162,2017,0
162,2018,0
162,2019,0
162,2020,0
162,2021,0
162,2022,0
162,2023,1
163,2013,0
163,2014,0
163,2015,0
163,2016,0
163,2017,0
163,2018,0
163,2019,0
163,2020,199
163,2021,416
163,2022,0
163,2023,0
164,2013,0
164,2014,0
164,2015,0
164,2016,0
164,2017,0
164,2018,0
164,2019,0
164,2020,85
164,2021,15
164,2022,2
164,2023,0
165,2013,0
165,2014,0
165,2015,0
165,2016,0
165,2017,0
165,2018,0
165,2019,0
165,2020,0
165,2021,943
165,2022,2430
165,2023,3069
166,2013,1
166,2014,7
166,2015,1
166,2016,0
166,2017,0
166,2018,0
166,2019,0
166,2020,0
166,2021,0
166,2022,0
166,2023,0
167,2013,1
167,2014,0
167,2015,0
167,2016,0
167,2017,0
167,2018,0
167,2019,3
167,2020,1
167,2021,3
167,2022,2
167,2023,3
168,2013,0
168,2014,0
168,2015,0
168,2016,0
168,2017,0
168,2018,0
168,2019,0
168,2020,0
168,2021,0
168,2022,0
168,2023,4
169,2013,0
169,2014,0
169,2015,0
169,2016,0
169,2017,0
169,2018,0
169,2019,0
169,2020,0
169,2021,0
169,2022,6
169,2023,44
170,2013,0
170,2014,0
170,2015,1
170,2016,0
170,2017,0
170,2018,0
170,2019,0
170,2020,0
170,2021,0
170,2022,0
170,2023,0
171,2013,0
171,2014,0
171,2015,1
171,2016,0
171,2017,1
171,2018,0
171,2019,0
171,2020,0
171,2021,0
171,2022,0
171,2023,0
172,2013,0
172,2014,0
172,2015,0
172,2016,0
172,2017,0
172,2018,0
172,2019,2439
172,2020,4277
172,2021,1899
172,2022,631
172,2023,4205
173,2013,112
173,2014,462
173,2015,2725
173,2016,78
173,2017,46
173,2018,47
173,2019,187
173,2020,248
173,2021,1
173,2022,32
173,2023,113
174,2013,0
174,2014,0
174,2015,0
174,2016,98
174,2017,52
174,2018,48
174,2019,108
174,2020,195
174,2021,1
174,2022,25
174,2023,58
175,2013,0
175,2014,0
175,2015,0
175,2016,0
175,2017,0
175,2018,0
175,2019,0
175,2020,0
175,2021,1524
175,2022,2315
175,2023,17953
176,2013,0
176,2014,0
176,2015,0
176,2016,0
176,2017,0
176,2018,0
176,2019,0
176,2020,0
176,2021,0
176,2022,136
176,2023,936
177,2013,0
177,2014,0
177,2015,0
177,2016,0
177,2017,0
177,2018,0
177,2019,0
177,2020,0
177,2021,0
177,2022,6
177,2023,4
178,2013,0
178,2014,0
178,2015,0
178,2016,0
178,2017,0
178,2018,0
178,2019,0
178,2020,0
178,2021,0
178,2022,5
178,2023,9
179,2013,0
179,2014,0
179,2015,0
179,2016,0
179,2017,0
179,2018,0
179,2019,0
179,2020,0
179,2021,31
179,2022,42
179,2023,21
180,2013,0
180,2014,0
180,2015,0
180,2016,0
180,2017,0
180,2018,0
180,2019,0
180,2020,3
180,2021,5
180,2022,2
180,2023,0
181,2013,0
181,2014,20
181,2015,92
181,2016,13
181,2017,36
181,2018,34
181,2019,17
181,2020,623
181,2021,3
181,2022,1
181,2023,1
182,2013,0
